"band","bigram","n"
"The Who","la la",155
"The Rolling Stones","la la",119
"Aerosmith","yeah yeah",112
"Queen","yeah yeah",101
"The Rolling Stones","yeah yeah",101
"Queen","la la",75
"The Rolling Stones","aaah aaah",68
"The Rolling Stones","oooh oooh",68
"AC/DC","jack jack",55
"Queen","ah ah",54
"AC/DC","rock rock",52
"Eagles","kick em",52
"The Rolling Stones","baby baby",51
"Aerosmith","shame shame",50
"Metallica","hey hey",47
"Queen","hey hey",45
"Aerosmith","round'n round'n",44
"AC/DC","yeah yeah",43
"Queen","ha ha",42
"The Who","ha ha",39
"Aerosmith","na na",34
"Led Zeppelin","ah ah",33
"The Who","home home",33
"Led Zeppelin","ooh ooh",32
"Eagles","doo doo",28
"The Who","slip kid",28
"Guns n Roses","cry tonight",26
"Led Zeppelin","ay ay",26
"AC/DC","burnin alive",25
"AC/DC","roll roll",25
"The Who","yeah yeah",25
"Aerosmith","sore eyes",24
"Guns n Roses","ma ma",24
"Pink Floyd","arnold layne",22
"Led Zeppelin","livin lovin",21
"Metallica","tick tick",21
"Guns n Roses","raw power",19
"Led Zeppelin","baby baby",19
"Eagles","heartache tonight",18
"Metallica","green hell",18
"Pink Floyd","ha charade",18
"Pink Floyd","ha ha",18
"Guns n Roses","nice boys",17
"Metallica","happy family",17
"Guns n Roses","na na",16
"Guns n Roses","play rock",16
"Guns n Roses","shotgun blues",16
"Pink Floyd","momma's gonna",16
"Metallica","killing time",15
"Metallica","master master",15
"Eagles","sunset grill",14
"Pink Floyd","silence stands",14
"Pink Floyd","swan lee",14
"Eagles","york minute",12
