"band","word","n","tf","idf","tf_idf"
"Queen","chat",62,0.00390501984002016,2.30258509299405,0.0089916404714764
"Eagles","funky",24,0.00459418070444104,1.6094379124341,0.00739404860230061
"The Rolling Stones","ron",75,0.00312174817898023,2.30258509299405,0.00718809082100118
"The Rolling Stones","aaah",72,0.00299687825182102,2.30258509299405,0.00690056718816114
"Aerosmith","round'n",47,0.00272843376291652,2.30258509299405,0.00628245090971323
"Eagles","grill",14,0.00267993874425727,2.30258509299405,0.00617078700266398
"Pink Floyd","arnold",22,0.00263346899688772,2.30258509299405,0.00606378645509564
"Pink Floyd","layne",22,0.00263346899688772,2.30258509299405,0.00606378645509564
"Queen","mustapha",41,0.00258235182969075,2.30258509299405,0.00594608482791181
"Eagles","heartache",19,0.00363705972434916,1.6094379124341,0.00585362181015465
"Guns n Roses","nightrain",19,0.00249638680856655,2.30258509299405,0.00574814305175232
"AC/DC","hail",51,0.00453131941359396,1.20397280432594,0.00545558534168127
"Led Zeppelin","tom",13,0.00234318673395818,2.30258509299405,0.00539538684371352
"Metallica","tick",26,0.00232142857142857,2.30258509299405,0.00534528682302189
"Queen","bicycle",36,0.00226743087485041,2.30258509299405,0.00522095253182501
"Metallica","ik",25,0.00223214285714286,2.30258509299405,0.00513969886829028
"Aerosmith","wart",38,0.0022059677232091,2.30258509299405,0.00507942839508729
"The Who","la",176,0.0141649899396378,0.356674943938732,0.00505229699261303
"The Who","lubie",27,0.00217303822937626,2.30258509299405,0.00500360543346795
"Pink Floyd","charade",18,0.00215465645199904,2.30258509299405,0.00496127982689644
"Metallica","fuel",23,0.00205357142857143,2.30258509299405,0.00472852295882706
"The Who","bucket",25,0.00201207243460765,2.30258509299405,0.0046329679939518
"AC/DC","business",43,0.00382052421146157,1.20397280432594,0.00459980724886853
"AC/DC","voltage",22,0.00195468680586406,2.30258509299405,0.00450083270065473
"The Who","cello",24,0.00193158953722334,2.30258509299405,0.00444764927419373
"Pink Floyd","clegg",16,0.0019152501795547,2.30258509299405,0.00441002651279683
"Eagles","greeks",10,0.00191424196018377,2.30258509299405,0.00440770500190284
"The Who","generation",34,0.0027364185110664,1.6094379124341,0.00440409569599673
"Guns n Roses","jungle",36,0.00472999605833662,0.916290731874155,0.00433405155005513
"Queen","allah",29,0.00182654153807394,2.30258509299405,0.00420576731730348
"AC/DC","oi",29,0.0025766326077299,1.6094379124341,0.00414693020529444
"The Rolling Stones","diddley",61,0.00253902185223725,1.6094379124341,0.00408639802948929
"The Rolling Stones","fucker",42,0.00174817898022893,2.30258509299405,0.00402533085976066
"Led Zeppelin","ay",32,0.00576784426820476,0.693147180559945,0.00399796499241497
"Eagles","desperado",9,0.00172281776416539,2.30258509299405,0.00396693450171256
"AC/DC","boogie",37,0.00328742780986228,1.20397280432594,0.00395797367925896
"Pink Floyd","oranges",14,0.00167584390711037,2.30258509299405,0.00385877319869723
"Led Zeppelin","gallows",9,0.00162220620043259,2.30258509299405,0.00373526781487859
"Guns n Roses","ta",31,0.00407305216134542,0.916290731874155,0.00373209994588081
"Metallica","master",45,0.00401785714285714,0.916290731874155,0.00368152526199437
"Queen","wop",25,0.00157460477420168,2.30258509299405,0.00362566148043403
"Guns n Roses","patience",17,0.00223360924977007,1.6094379124341,0.00359485540814344
"Metallica","remorse",17,0.00151785714285714,2.30258509299405,0.00349499523043739
"Aerosmith","janie's",26,0.00150934633693254,2.30258509299405,0.00347539837558604
"Aerosmith","dude",36,0.00208986415882968,1.6094379124341,0.00336350660905768
"Aerosmith","dontcha",25,0.00145129455474283,2.30258509299405,0.00334172920729427
"Guns n Roses","reckless",11,0.00144527657338063,2.30258509299405,0.00332787229311976
"Led Zeppelin","ramble",8,0.00144196106705119,2.30258509299405,0.00332023805766986
"The Rolling Stones","bome",32,0.00133194588969823,2.30258509299405,0.00306691875029384
"Led Zeppelin","rider",11,0.00198269646719539,1.20397280432594,0.00238711262573635
