"band","trigram","n"
"The Who","la la la",134
"The Rolling Stones","la la la",87
"The Rolling Stones","oooh oooh oooh",65
"Queen","la la la",64
"The Rolling Stones","aaah aaah aaah",64
"Aerosmith","yeah yeah yeah",61
"The Rolling Stones","yeah yeah yeah",54
"AC/DC","jack jack jack",46
"Queen","yeah yeah yeah",42
"Aerosmith","round'n round'n round'n",41
"Queen","ah ah ah",40
"The Rolling Stones","star fucker star",40
"The Who","ha ha ha",34
"Aerosmith","shame shame shame",29
"AC/DC","rock rock rock",28
"Led Zeppelin","ooh ooh ooh",27
"Queen","ha ha ha",27
"Eagles","doo doo doo",26
"The Who","home home home",26
"Aerosmith","na na na",25
"Metallica","hey hey hey",24
"Aerosmith","boy dontcha line",23
"Led Zeppelin","ah ah ah",23
"The Who","cello cello cello",22
"Guns n Roses","ma ma ma",21
"Queen","hey hey hey",21
"The Who","run run run",21
"Led Zeppelin","ay ay ay",20
"AC/DC","alive burnin alive",19
"AC/DC","burnin alive burnin",19
"AC/DC","stiff upper lip",18
"Pink Floyd","ha ha charade",18
"Metallica","tick tick tick",16
"Metallica","fuel gimme fire",13
"Metallica","gimme fuel gimme",13
"Metallica","ik hou van",13
"Guns n Roses","na na na",12
"Guns n Roses","roll nice boys",12
"Pink Floyd","arnold layne arnold",12
"Pink Floyd","layne arnold layne",12
"Led Zeppelin","hey hey mama",11
"Guns n Roses","door knock knock",9
"Guns n Roses","heaven's door knock",9
"Guns n Roses","knock knock knockin",9
"Led Zeppelin","lonely lonely lonely",9
"Led Zeppelin","talkin bout love",9
"Eagles","bye bye bye",8
"Pink Floyd","nah nah nah",8
"Pink Floyd","silence stands swan",7
"Pink Floyd","stands swan lee",7
"Eagles","oo midnight flyer",6
"Eagles","hoo witchy woman",5
"Eagles","lady luck freeway",5
"Eagles","luck freeway cars",5
"Eagles","woo hoo witchy",5
